solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.026783,0.006,1182,43,1015,961,43,1.229969,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_lacam/empty-32-32/empty-32-32-random-1_a50_s0_r0,1182,0.006,"{""agents"": ""50"", ""comp_time"": ""6"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""1182"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1036"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",empty-32-32,empty-32-32-random-1,50,1,30.0,solved,0.030151,0.01,1170,43,1019,961,43,1.217482,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_lacam/empty-32-32/empty-32-32-random-1_a50_s1_r0,1170,0.01,"{""agents"": ""50"", ""comp_time"": ""10"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""1"", ""soc"": ""1170"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1038"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:lacam_noswap,"LaCAM (no guidance, no PIBT swap)",empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.017376,0.006,1182,43,1015,961,43,1.229969,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_lacam_noswap/empty-32-32/empty-32-32-random-1_a50_s0_r0,1182,0.006,"{""agents"": ""50"", ""comp_time"": ""6"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""1182"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1036"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:lacam_noswap,"LaCAM (no guidance, no PIBT swap)",empty-32-32,empty-32-32-random-1,50,1,30.0,solved,0.028864,0.007,1170,43,1019,961,43,1.217482,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_lacam_noswap/empty-32-32/empty-32-32-random-1_a50_s1_r0,1170,0.007,"{""agents"": ""50"", ""comp_time"": ""7"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""1"", ""soc"": ""1170"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1038"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:suo,LaCAM3 = SUO (first solution),empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.027993,0.009,969,43,969,961,43,1.008325,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_suo/empty-32-32/empty-32-32-random-1_a50_s0_r0,969,0.009,"{""agents"": ""50"", ""comp_time"": ""9"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""969"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""969"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:suo,LaCAM3 = SUO (first solution),empty-32-32,empty-32-32-random-1,50,1,30.0,solved,0.02695,0.009,971,43,971,961,43,1.010406,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_suo/empty-32-32/empty-32-32-random-1_a50_s1_r0,971,0.009,"{""agents"": ""50"", ""comp_time"": ""9"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""1"", ""soc"": ""971"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""971"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:lg,"LG-LaCAM (window 20, first solution)",empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.024796,0.011,966,43,966,961,43,1.005203,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_lg/empty-32-32/empty-32-32-random-1_a50_s0_r0,966,0.011,"{""agents"": ""50"", ""comp_time"": ""11"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""966"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""966"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:lg,"LG-LaCAM (window 20, first solution)",empty-32-32,empty-32-32-random-1,50,1,30.0,solved,0.041674,0.014,970,43,970,961,43,1.009365,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_lg/empty-32-32/empty-32-32-random-1_a50_s1_r0,970,0.014,"{""agents"": ""50"", ""comp_time"": ""14"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""1"", ""soc"": ""970"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""970"", ""sum_of_loss_lb"": ""961""}"
traffic_load_lacam:vanilla,py-LaCAM (vanilla),empty-32-32,empty-32-32-random-1,50,1,30.0,solved,0.223856,,1213,45,1030,961,43,1.262227,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/traffic_load_lacam_vanilla/empty-32-32/empty-32-32-random-1_a50_s1_r0,,,
traffic_load_lacam:vanilla,py-LaCAM (vanilla),empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.374019,,1172,43,1060,961,43,1.219563,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/traffic_load_lacam_vanilla/empty-32-32/empty-32-32-random-1_a50_s0_r0,,,
traffic_load_lacam:tb_step,"py-LaCAM + load (tiebreak, per step)",empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.640231,,1118,43,986,961,43,1.163371,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/traffic_load_lacam_tb_step/empty-32-32/empty-32-32-random-1_a50_s0_r0,,,
traffic_load_lacam:tb_step,"py-LaCAM + load (tiebreak, per step)",empty-32-32,empty-32-32-random-1,50,1,30.0,solved,0.522542,,1118,43,986,961,43,1.163371,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/traffic_load_lacam_tb_step/empty-32-32/empty-32-32-random-1_a50_s1_r0,,,
traffic_load_lacam:pen01_step,"py-LaCAM + load (penalty 0.1, per step)",empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.64988,,1118,43,986,961,43,1.163371,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/traffic_load_lacam_pen01_step/empty-32-32/empty-32-32-random-1_a50_s0_r0,,,
traffic_load_lacam:pen01_step,"py-LaCAM + load (penalty 0.1, per step)",empty-32-32,empty-32-32-random-1,50,1,30.0,solved,0.646061,,1118,43,986,961,43,1.163371,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/traffic_load_lacam_pen01_step/empty-32-32/empty-32-32-random-1_a50_s1_r0,,,
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",empty-32-32,empty-32-32-random-1,100,0,30.0,solved,0.03601,0.02,2759,48,2367,2128,48,1.296523,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_lacam/empty-32-32/empty-32-32-random-1_a100_s0_r0,2759,0.02,"{""agents"": ""100"", ""comp_time"": ""20"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""2759"", ""soc_lb"": ""2128"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2424"", ""sum_of_loss_lb"": ""2128""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",empty-32-32,empty-32-32-random-1,100,1,30.0,solved,0.054764,0.021,2851,48,2424,2128,48,1.339756,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_lacam/empty-32-32/empty-32-32-random-1_a100_s1_r0,2851,0.021,"{""agents"": ""100"", ""comp_time"": ""21"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""empty-32-32.map"", ""seed"": ""1"", ""soc"": ""2851"", ""soc_lb"": ""2128"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2497"", ""sum_of_loss_lb"": ""2128""}"
lg_lacam_fork:lacam_noswap,"LaCAM (no guidance, no PIBT swap)",empty-32-32,empty-32-32-random-1,100,0,30.0,solved,0.104976,0.012,2759,48,2367,2128,48,1.296523,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_lacam_noswap/empty-32-32/empty-32-32-random-1_a100_s0_r0,2759,0.012,"{""agents"": ""100"", ""comp_time"": ""12"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""2759"", ""soc_lb"": ""2128"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2424"", ""sum_of_loss_lb"": ""2128""}"
lg_lacam_fork:lacam_noswap,"LaCAM (no guidance, no PIBT swap)",empty-32-32,empty-32-32-random-1,100,1,30.0,solved,0.032981,0.013,2851,48,2424,2128,48,1.339756,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_lacam_noswap/empty-32-32/empty-32-32-random-1_a100_s1_r0,2851,0.013,"{""agents"": ""100"", ""comp_time"": ""13"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""empty-32-32.map"", ""seed"": ""1"", ""soc"": ""2851"", ""soc_lb"": ""2128"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2497"", ""sum_of_loss_lb"": ""2128""}"
lg_lacam_fork:suo,LaCAM3 = SUO (first solution),empty-32-32,empty-32-32-random-1,100,0,30.0,solved,0.042872,0.015,2199,48,2179,2128,48,1.033365,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-empty32/runs/lg_lacam_fork_suo/empty-32-32/empty-32-32-random-1_a100_s0_r0,2199,0.015,"{""agents"": ""100"", ""comp_time"": ""15"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""2199"", ""soc_lb"": ""2128"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2180"", ""sum_of_loss_lb"": ""2128""}"
